actors,director,movie_name
Tim Robbins,Frank Darabont,The Shawshank Redemption
Morgan Freeman,Frank Darabont,The Shawshank Redemption
Bob Gunton,Frank Darabont,The Shawshank Redemption
William Sadler,Frank Darabont,The Shawshank Redemption
Clancy Brown,Frank Darabont,The Shawshank Redemption
Gil Bellows,Frank Darabont,The Shawshank Redemption
Mark Rolston,Frank Darabont,The Shawshank Redemption
James Whitmore,Frank Darabont,The Shawshank Redemption
Jeffrey DeMunn,Frank Darabont,The Shawshank Redemption
Larry Brandenburg,Frank Darabont,The Shawshank Redemption
Neil Giuntoli,Frank Darabont,The Shawshank Redemption
Brian Libby,Frank Darabont,The Shawshank Redemption
David Proval,Frank Darabont,The Shawshank Redemption
Joseph Ragno,Frank Darabont,The Shawshank Redemption
Jude Ciccolella,Frank Darabont,The Shawshank Redemption
Paul McCrane,Frank Darabont,The Shawshank Redemption
Renee Blaine,Frank Darabont,The Shawshank Redemption
Scott Mann,Frank Darabont,The Shawshank Redemption
Scott Mann,Frank Darabont,The Shawshank Redemption
Marlon Brando,Francis Ford Coppola,The Godfather
Al Pacino,Francis Ford Coppola,The Godfather
James Caan,Francis Ford Coppola,The Godfather
Diane Keaton,Francis Ford Coppola,The Godfather
Richard S. Castellano,Francis Ford Coppola,The Godfather
Robert Duvall,Francis Ford Coppola,The Godfather
Sterling Hayden,Francis Ford Coppola,The Godfather
John Marley,Francis Ford Coppola,The Godfather
Richard Conte,Francis Ford Coppola,The Godfather
Al Lettieri,Francis Ford Coppola,The Godfather
Abe Vigoda,Francis Ford Coppola,The Godfather
Talia Shire,Francis Ford Coppola,The Godfather
Gianni Russo,Francis Ford Coppola,The Godfather
John Cazale,Francis Ford Coppola,The Godfather
Rudy Bond,Francis Ford Coppola,The Godfather
Al Martino,Francis Ford Coppola,The Godfather
Morgana King,Francis Ford Coppola,The Godfather
Lenny Montana,Francis Ford Coppola,The Godfather
Lenny Montana,Francis Ford Coppola,The Godfather
Christian Bale,Christopher Nolan,The Dark Knight
Heath Ledger,Christopher Nolan,The Dark Knight
Aaron Eckhart,Christopher Nolan,The Dark Knight
Michael Caine,Christopher Nolan,The Dark Knight
Maggie Gyllenhaal,Christopher Nolan,The Dark Knight
Gary Oldman,Christopher Nolan,The Dark Knight
Morgan Freeman,Christopher Nolan,The Dark Knight
Monique Gabriela Curnen,Christopher Nolan,The Dark Knight
Ron Dean,Christopher Nolan,The Dark Knight
Cillian Murphy,Christopher Nolan,The Dark Knight
Chin Han,Christopher Nolan,The Dark Knight
Nestor Carbonell,Christopher Nolan,The Dark Knight
Eric Roberts,Christopher Nolan,The Dark Knight
Ritchie Coster,Christopher Nolan,The Dark Knight
Anthony Michael Hall,Christopher Nolan,The Dark Knight
Keith Szarabajka,Christopher Nolan,The Dark Knight
Colin McFarlane,Christopher Nolan,The Dark Knight
Joshua Harto,Christopher Nolan,The Dark Knight
Joshua Harto,Christopher Nolan,The Dark Knight
Al Pacino,Francis Ford Coppola,The Godfather Part II
Robert De Niro,Francis Ford Coppola,The Godfather Part II
Robert Duvall,Francis Ford Coppola,The Godfather Part II
Diane Keaton,Francis Ford Coppola,The Godfather Part II
John Cazale,Francis Ford Coppola,The Godfather Part II
Talia Shire,Francis Ford Coppola,The Godfather Part II
Lee Strasberg,Francis Ford Coppola,The Godfather Part II
Michael V. Gazzo,Francis Ford Coppola,The Godfather Part II
G.D. Spradlin,Francis Ford Coppola,The Godfather Part II
Richard Bright,Francis Ford Coppola,The Godfather Part II
Gastone Moschin,Francis Ford Coppola,The Godfather Part II
Tom Rosqui,Francis Ford Coppola,The Godfather Part II
Bruno Kirby,Francis Ford Coppola,The Godfather Part II
Frank Sivero,Francis Ford Coppola,The Godfather Part II
Francesca De Sapio,Francis Ford Coppola,The Godfather Part II
Morgana King,Francis Ford Coppola,The Godfather Part II
Marianna Hill,Francis Ford Coppola,The Godfather Part II
Leopoldo Trieste,Francis Ford Coppola,The Godfather Part II
Leopoldo Trieste,Francis Ford Coppola,The Godfather Part II
Henry Fonda,Sidney Lumet,12 Angry Men
Lee J. Cobb,Sidney Lumet,12 Angry Men
Martin Balsam,Sidney Lumet,12 Angry Men
John Fiedler,Sidney Lumet,12 Angry Men
E.G. Marshall,Sidney Lumet,12 Angry Men
Jack Klugman,Sidney Lumet,12 Angry Men
Edward Binns,Sidney Lumet,12 Angry Men
Jack Warden,Sidney Lumet,12 Angry Men
Joseph Sweeney,Sidney Lumet,12 Angry Men
Ed Begley,Sidney Lumet,12 Angry Men
George Voskovec,Sidney Lumet,12 Angry Men
Robert Webber,Sidney Lumet,12 Angry Men
Rudy Bond,Sidney Lumet,12 Angry Men
Tom Gorman,Sidney Lumet,12 Angry Men
James Kelly,Sidney Lumet,12 Angry Men
Billy Nelson,Sidney Lumet,12 Angry Men
John Savoca,Sidney Lumet,12 Angry Men
Walter Stocker,Sidney Lumet,12 Angry Men
Walter Stocker,Sidney Lumet,12 Angry Men
Liam Neeson,Steven Spielberg,Schindler's List
Ralph Fiennes,Steven Spielberg,Schindler's List
Ben Kingsley,Steven Spielberg,Schindler's List
Caroline Goodall,Steven Spielberg,Schindler's List
Jonathan Sagall,Steven Spielberg,Schindler's List
Embeth Davidtz,Steven Spielberg,Schindler's List
Malgorzata Gebel,Steven Spielberg,Schindler's List
Shmuel Levy,Steven Spielberg,Schindler's List
Mark Ivanir,Steven Spielberg,Schindler's List
Béatrice Macola,Steven Spielberg,Schindler's List
Andrzej Seweryn,Steven Spielberg,Schindler's List
Friedrich von Thun,Steven Spielberg,Schindler's List
Krzysztof Luft,Steven Spielberg,Schindler's List
Harry Nehring,Steven Spielberg,Schindler's List
Norbert Weisser,Steven Spielberg,Schindler's List
Adi Nitzan,Steven Spielberg,Schindler's List
Michael Schneider,Steven Spielberg,Schindler's List
Miri Fabian,Steven Spielberg,Schindler's List
Miri Fabian,Steven Spielberg,Schindler's List
Elijah Wood,Peter Jackson,The Lord of the Rings: The Return of the King
Viggo Mortensen,Peter Jackson,The Lord of the Rings: The Return of the King
Ian McKellen,Peter Jackson,The Lord of the Rings: The Return of the King
Orlando Bloom,Peter Jackson,The Lord of the Rings: The Return of the King
Noel Appleby,Peter Jackson,The Lord of the Rings: The Return of the King
Ali Astin,Peter Jackson,The Lord of the Rings: The Return of the King
Sean Astin,Peter Jackson,The Lord of the Rings: The Return of the King
David Aston,Peter Jackson,The Lord of the Rings: The Return of the King
John Bach,Peter Jackson,The Lord of the Rings: The Return of the King
Sean Bean,Peter Jackson,The Lord of the Rings: The Return of the King
Cate Blanchett,Peter Jackson,The Lord of the Rings: The Return of the King
Billy Boyd,Peter Jackson,The Lord of the Rings: The Return of the King
Sadwyn Brophy,Peter Jackson,The Lord of the Rings: The Return of the King
Alistair Browning,Peter Jackson,The Lord of the Rings: The Return of the King
Marton Csokas,Peter Jackson,The Lord of the Rings: The Return of the King
Richard Edge,Peter Jackson,The Lord of the Rings: The Return of the King
Jason Fitch,Peter Jackson,The Lord of the Rings: The Return of the King
Bernard Hill,Peter Jackson,The Lord of the Rings: The Return of the King
Bernard Hill,Peter Jackson,The Lord of the Rings: The Return of the King
John Travolta,Quentin Tarantino,Pulp Fiction
Uma Thurman,Quentin Tarantino,Pulp Fiction
Samuel L. Jackson,Quentin Tarantino,Pulp Fiction
Bruce Willis,Quentin Tarantino,Pulp Fiction
Tim Roth,Quentin Tarantino,Pulp Fiction
Amanda Plummer,Quentin Tarantino,Pulp Fiction
Laura Lovelace,Quentin Tarantino,Pulp Fiction
Phil LaMarr,Quentin Tarantino,Pulp Fiction
Frank Whaley,Quentin Tarantino,Pulp Fiction
Burr Steers,Quentin Tarantino,Pulp Fiction
Ving Rhames,Quentin Tarantino,Pulp Fiction
Paul Calderon,Quentin Tarantino,Pulp Fiction
Bronagh Gallagher,Quentin Tarantino,Pulp Fiction
Rosanna Arquette,Quentin Tarantino,Pulp Fiction
Eric Stoltz,Quentin Tarantino,Pulp Fiction
Jerome Patrick Hoban,Quentin Tarantino,Pulp Fiction
Michael Gilden,Quentin Tarantino,Pulp Fiction
Gary Shorelle,Quentin Tarantino,Pulp Fiction
Gary Shorelle,Quentin Tarantino,Pulp Fiction
Elijah Wood,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Ian McKellen,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Orlando Bloom,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Sean Bean,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Alan Howard,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Noel Appleby,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Sean Astin,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Sala Baker,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Billy Boyd,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Andy Serkis,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Marton Csokas,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Viggo Mortensen,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Megan Edwards,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Michael Elsworth,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Cate Blanchett,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Mark Ferguson,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Ian Holm,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Christopher Lee,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Christopher Lee,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Clint Eastwood,Sergio Leone,"The Good, the Bad and the Ugly"
Eli Wallach,Sergio Leone,"The Good, the Bad and the Ugly"
Lee Van Cleef,Sergio Leone,"The Good, the Bad and the Ugly"
Aldo Giuffrè,Sergio Leone,"The Good, the Bad and the Ugly"
Luigi Pistilli,Sergio Leone,"The Good, the Bad and the Ugly"
Rada Rassimov,Sergio Leone,"The Good, the Bad and the Ugly"
Enzo Petito,Sergio Leone,"The Good, the Bad and the Ugly"
Claudio Scarchilli,Sergio Leone,"The Good, the Bad and the Ugly"
John Bartha,Sergio Leone,"The Good, the Bad and the Ugly"
Livio Lorenzon,Sergio Leone,"The Good, the Bad and the Ugly"
Antonio Casale,Sergio Leone,"The Good, the Bad and the Ugly"
